seed,sigma,final_mse,mse_auc,convergence_month,insurer_gap,group_gap,worst_group_mse
32,0.05,0.06025253581747758,0.02311371477297661,24,0.051125783254264555,0.03375724324038449,0.07277323259504608
32,0.1,0.23642157168221734,0.08333992876891845,24,0.20698153130001967,0.1380377977169949,0.2891801790147782
33,0.0,0.0020329864681115735,0.002076691647052606,5,8.079398332698155e-05,0.00490706392369839,0.005508887827140546
33,0.01,0.002176191658091377,0.0028544844757571763,6,0.00010552701042106217,0.004979900475940137,0.005725235772395567
33,0.05,0.004124502078958947,0.018404266292961814,41,0.000973001504968264,0.004667824298886381,0.007300421770167766
33,0.1,0.009944537467304063,0.05578232565647799,44,0.003961383480349083,0.004206565347928355,0.012243973107911737
34,0.0,0.0008968519641014505,0.0012991900740969135,14,2.9084292078049658e-05,0.00110003317509926,0.0015189047867200883
34,0.01,0.0015215576321700838,0.0017106499711389504,6,0.0006003336761159128,0.0009513696856013233,0.0019916586369121145
34,0.05,0.013133936103815361,0.0065910494161001984,82,0.011518520987443664,0.0029910385388023553,0.015058981701732472
34,0.1,0.04957023707992203,0.01604493339963485,113,0.04631167181270278,0.013133701735807676,0.057977843583186126
35,0.0,0.0009251280861272455,0.0012976813528955816,32,2.194383470775012e-05,0.001591529396789547,0.0019422684257799083
35,0.01,0.0014891941930984041,0.0018617148575150112,34,0.00015521150963493892,0.0023905404495348803,0.003015534446902535
35,0.05,0.013152839883832212,0.011401697160543234,52,0.002623301515301318,0.00897436628845741,0.018339549187218796
35,0.1,0.04712134002471668,0.035244562380200344,41,0.00834939278508092,0.021627462620989947,0.05765285434822629
36,0.0,0.0012934697872412015,0.0012467643030792865,22,6.409763042191139e-05,0.0033280691202679617,0.003692841421872694
36,0.01,0.0019905299510124363,0.0019911671756959798,3,0.0005405714092988326,0.004779127326114964,0.005388986702494309
36,0.05,0.009887066130360524,0.007625605689138931,50,0.006281523066409016,0.019389641742402618,0.022056242702644065
36,0.1,0.016929927034200192,0.015620364237193318,74,0.011818582993645204,0.03769870980167561,0.0408397091784001
37,0.0,0.0006882116343020599,0.0014938892948871748,109,2.2000699287265445e-05,0.0005293382603452859,0.0009722257604481092
37,0.01,0.0031788386852649314,0.0025139013133840763,10,0.0024607894182950866,0.0029967762192192617,0.004578887608299517
37,0.05,0.014742574171700312,0.02185133030477597,70,0.012491524493112798,0.020164493988917714,0.024183461513095944
37,0.1,0.015360258490566797,0.07746924766399589,112,0.0108638991491623,0.02114542079660221,0.025312948835738702
38,0.0,0.0008583307598290455,0.0013494617507484126,6,2.9653837124929735e-05,0.0019255459040517487,0.0022361274087374034
38,0.01,0.001448866141422542,0.0027984205546497842,30,0.0005855771471817128,0.0022903260779188065,0.0029978310453673807
38,0.05,0.01040813260096234,0.032223817277893085,53,0.007910792464648573,0.009239649513896152,0.016290220735254973
38,0.1,0.01273214566844207,0.11495704641576232,90,0.006878489931864023,0.015173099508692158,0.02280092798746663
39,0.0,0.0009115725717221102,0.0014274798444823121,30,1.6173273964990646e-05,0.001475772671398332,0.0018655302769915844
39,0.01,0.0013139500164367822,0.0019789147966038124,29,0.00038259677327184556,0.0013022412549011965,0.002146803326705067
39,0.05,0.010744602460322328,0.010974184920484974,113,0.007827060766488267,0.0036568095614850984,0.012572289186362943
39,0.1,0.038988474452821865,0.031547488930776815,30,0.03165898931359375,0.011246558494413333,0.043847356525632
40,0.0,0.0008279277789126051,0.0015416276227992064,78,3.1652715431174985e-06,0.0017579216804320032,0.002095944944882324
40,0.01,0.001064950063091113,0.0020657692559028205,14,3.1778730718941904e-05,0.0025364903091073753,0.0029190268530661923
40,0.05,0.005362145475664276,0.014187410456706467,31,0.0010881301542988448,0.00826302809439511,0.011235501637353507
40,0.1,0.017844937643345528,0.04734450951741114,45,0.003929331216591988,0.018275402045601945,0.03029228034818717
41,0.0,0.001517276924749233,0.0019680438005257555,14,4.557813614258968e-05,0.0032816137917754604,0.0037886417878941884
41,0.01,0.0025484651099882344,0.0032673648822026105,5,0.0010717808820851521,0.0025982062777995156,0.004214221594468958
41,0.05,0.024992761696168903,0.02557742784165726,10,0.02249686236744856,0.004553060341602492,0.02726366811488235
41,0.1,0.09589570086634566,0.08032175186250395,70,0.0898939252521181,0.022508953321405678,0.10908627392960073
42,0.0,0.0007742612042169044,0.0019133196021524123,56,3.2860888230580694e-05,0.0011319407297214804,0.001526624447134805
42,0.01,0.0022354478876548123,0.0024514367175357222,1,0.0014891046067756057,0.001155411930715747,0.0028222622250943575
42,0.05,0.03179287189370848,0.013721028183987285,76,0.03016515186433034,0.011418743557890165,0.03749198184596498
42,0.1,0.12237340544026878,0.04397843453977221,80,0.1182346783303971,0.046841012909521085,0.14519730661410538
43,0.0,0.0018454140605295784,0.0013337370996067814,9,5.8250028686856675e-05,0.004659729016741181,0.0051466631017388995
