seed,sigma,month,global_mse,insurer_gap,group_gap,worst_group_mse
20,0.01,107,0.0016235425576399092,0.000282854090733229,0.0037300893646535936,0.004235326724321469
20,0.01,108,0.0015219489206373701,0.0002592753104053492,0.0033301636954650845,0.0037833617112603274
20,0.01,109,0.0020091017186354447,0.0002932721101357365,0.005678801731270849,0.006000976766182434
20,0.01,110,0.010314767776303793,0.0,0.004704180455833693,0.012194132291232758
20,0.01,111,0.010107921251290926,0.008174119241109954,0.0034276859858092795,0.011211251747010457
20,0.01,112,0.010369928996010686,0.00852364249791119,0.003499511828575547,0.0114918128309416
20,0.01,113,0.010344569920046398,0.008937556357535265,0.0029961901922083006,0.011329346748799088
20,0.01,114,0.010755768229601996,0.009000905769046105,0.0032951034034020468,0.01167801323654654
20,0.01,115,0.010504222084289836,0.008819507204078108,0.003058115936107296,0.01141665956878167
20,0.01,116,0.010311829281486527,0.008753565104128738,0.0031003535153247865,0.0118167352531271
20,0.01,117,0.010651348249998837,0.00866445161076898,0.0032168060803600008,0.012026419049267068
20,0.01,118,0.010802911046472963,0.009097450528510687,0.002128049227128658,0.011702343572182616
20,0.01,119,0.01067480355942478,0.009409619469215827,0.0015285862139935505,0.011277004423479276
20,0.01,120,0.0023728181147400435,0.0,0.0021303375702035688,0.0034984944382531135
20,0.05,1,0.001253237333889137,0.00013865680773904288,0.0037763268292906756,0.003857795306877967
20,0.05,2,0.0015423346677816386,0.0009422093884759611,0.004765562592752524,0.004866877294257139
20,0.05,3,0.001665511393484649,0.0008053181159166097,0.00521111156604747,0.005320428493837434
20,0.05,4,0.0018623482195634631,8.629965245800285e-05,0.005801500750858869,0.005934072939496988
20,0.05,5,0.002156493846862552,0.0009045697656424186,0.006886601196781417,0.007027188578161441
20,0.05,6,0.0024172340192198205,0.0009361240992472157,0.007781188749953225,0.007922603903846715
20,0.05,7,0.0024590833286854455,0.0009805158784216804,0.00756867831577794,0.007719955189448359
20,0.05,8,0.0028639303519272506,0.0009903154868395748,0.008937107133188623,0.009098761351861825
20,0.05,9,0.003077211315416064,0.001066036181782857,0.009685393828548721,0.00986350033091498
20,0.05,10,0.00507568781228657,0.0,0.0003507082820892113,0.005275892690126151
20,0.05,11,0.005262474001522517,0.003415519400497842,0.0005928315934280257,0.005439727127769297
20,0.05,12,0.005029447434860918,0.003699721834524045,0.0015889063563307862,0.005631839169227239
20,0.05,13,0.0049030916412737754,0.0037559429397370793,0.002276821700986573,0.005709820690653836
20,0.05,14,0.005631684866156513,0.003782605190763951,0.0007761510590849792,0.005879590588975423
