parameter,value,seed,insured_pct,effective_price,coverage,profit_per_insurer,subsidy_per_patient,risk_mse,hhi,coverage_disparity,goal_score,convergence_month
tau,0.15,8,0.9800000000000001,159.92317648459183,0.7796248998045476,2980.912204774743,0.0,0.006498734555422099,0.52956,0.040000000000000036,0.8007868258198997,34
tau,0.15,9,0.9700000000000001,155.49591762523673,0.79138261144493,3019.497104114759,0.0,0.006371655279715513,0.51196,0.07999999999999996,0.8122273929504722,72
tau,0.15,10,0.99,152.26950362535666,0.765463084063221,2825.49339859735,0.0,0.007407168320824081,0.5933999999999999,0.040000000000000036,0.7962915364605563,120
tau,0.15,11,0.9700000000000001,167.20140071982016,0.7768634234459599,2890.724668578701,0.0,0.008627585747948124,0.5418399999999999,0.07999999999999996,0.7966657712395881,23
tau,0.15,12,0.9700000000000001,162.14511252476126,0.8036291084523283,2987.0478365185627,0.0,0.008536463373100503,0.46304000000000006,0.07999999999999996,0.8081267222039404,35
tau,0.15,13,0.9800000000000001,163.14307129738035,0.7672048978853285,2723.877217305101,0.0,0.00522105488674029,0.5168200000000001,0.040000000000000036,0.7944401352578481,42
tau,0.15,14,0.9499999999999998,163.38416381439254,0.7875127012022025,2990.2938776059373,0.0,0.023774853092258522,0.51162,0.07999999999999996,0.7881187227877846,34
tau,0.15,15,0.9800000000000001,160.4060656045092,0.7761300703160916,3049.010476826497,0.0,0.009552630117545504,0.4687200000000001,0.040000000000000036,0.8054688891691489,82
tau,0.15,16,0.9800000000000001,158.69321587048574,0.7780231390107633,2830.673157098754,0.0,0.009537323854193354,0.5119,0.040000000000000036,0.8076736540454738,14
tau,0.15,17,0.9600000000000002,156.097418763327,0.7626977020664956,2752.0123483958764,0.0,0.004753001666106783,0.54018,0.12000000000000002,0.7948241852401725,113
tau,0.15,18,0.9499999999999998,156.3597375374112,0.7762500949206321,2775.4088751226604,0.0,0.012453431730354316,0.5940399999999999,0.039999999999999925,0.7824580578937856,33
tau,0.15,19,0.9700000000000001,158.0746480266535,0.775912755109931,2648.8935240404217,0.0,0.023450170166738095,0.62448,0.07999999999999996,0.8046322177844154,20
tau,0.15,20,0.9499999999999998,164.38425891485613,0.7825442936604502,2791.7657406477424,0.0,0.03555580497778932,0.6415000000000001,0.039999999999999925,0.785292381450698,120
tau,0.15,21,0.99,154.54821168074128,0.7731944116867334,2846.049759453442,0.0,0.02668703666018001,0.43916000000000005,0.040000000000000036,0.8102475802604523,14
tau,0.15,22,0.9600000000000002,158.4138977579175,0.7639537525113225,2703.3302726602415,0.0,0.007836912843839286,0.50742,0.07999999999999996,0.7914491398031126,120
tau,0.15,23,0.9800000000000001,153.50728228494555,0.7630840723740901,2891.6603726043204,0.0,0.009782823347348157,0.52472,0.040000000000000036,0.7973847237697262,14
tau,0.15,24,0.9600000000000002,149.40108959357633,0.7617799303972607,2477.4221951201785,0.0,0.01025226155243706,0.4622800000000001,0.07999999999999996,0.789667681842275,113
tau,0.15,25,0.9700000000000001,159.39999004833197,0.7924638121757372,3157.981694632146,0.0,0.008430713766975045,0.4948200000000001,0.040000000000000036,0.8030646221600455,120
tau,0.15,26,0.9700000000000001,158.19247273657408,0.7963980530152306,2750.7678484256803,0.0,0.017351576136842486,0.48638000000000003,0.07999999999999996,0.8065929944826591,23
tau,0.15,27,0.9600000000000002,159.6860451006663,0.7847179690610174,2902.2135196588565,0.0,0.0064712366089111645,0.6327200000000002,0.07999999999999996,0.7908015871416976,40
tau,0.15,28,0.9499999999999998,158.73812482655168,0.7640997487353,2703.385930557803,0.0,0.019575893539939895,0.37456000000000006,0.07999999999999996,0.7784959163806814,60
tau,0.15,29,0.9600000000000002,161.24764359314074,0.7959219182370626,3065.1040776903455,0.0,0.003785309162691236,0.53526,0.12000000000000002,0.7995047730772257,40
coverage_target,0.8,0,0.9700000000000001,177.2474360576055,0.7880832421371127,2904.3552522737136,0.0,0.012185722901282175,0.58714,0.07999999999999996,0.7963774615618331,43
coverage_target,0.8,1,0.945,172.41531029490648,0.7911865106694432,2799.070738820297,0.0,0.019089972684905095,0.44055,0.12000000000000002,0.7802629556356668,64
coverage_target,0.8,2,0.9600000000000002,172.8995927656741,0.7740761704395778,2788.1314450627146,0.0,0.017866242873232872,0.48007999999999995,0.16000000000000006,0.7869932997949518,29
coverage_target,0.8,3,0.9600000000000002,171.59298896166152,0.7723170934647339,2954.4855288989047,0.0,0.005174186866992451,0.49522000000000005,0.12000000000000002,0.7858438247198409,20
coverage_target,0.8,4,0.9099999999999999,176.7724429261364,0.7687249910603255,2669.0940041019776,0.0,0.004683110957775045,0.4582800000000001,0.07999999999999996,0.7578983506663682,15
coverage_target,0.8,5,0.9399999999999998,171.64173328936968,0.7685997011895845,2617.7340676919835,0.0,0.0061192258490907845,0.49212000000000006,0.12000000000000002,0.7754887044122707,84
coverage_target,0.8,6,0.9800000000000001,168.50188589744872,0.7537250782220972,2774.9984567895162,0.0,0.012200607965163934,0.4721,0.040000000000000036,0.7867492904380974,33
coverage_target,0.8,7,0.9429999999999998,169.90356972102626,0.7815633894050606,2864.2233342571176,0.1901793452398472,0.006472887704093218,0.44593,0.10799999999999998,0.7695677565363344,27
coverage_target,0.8,8,0.9700000000000001,172.70721667178134,0.7788875554056417,2947.8963794192255,0.0,0.0064133028454359834,0.5156799999999999,0.07999999999999996,0.7857213409585995,34
coverage_target,0.8,9,0.952,171.8458727245129,0.7920609756941079,3030.846158374633,0.0,0.00634222198202212,0.51112,0.11200000000000002,0.7918455331491032,72
coverage_target,0.8,10,0.99,162.51890381100833,0.7650768474168288,2823.064565896456,0.0,0.007425194025918394,0.60564,0.040000000000000036,0.7875364879836562,120
coverage_target,0.8,11,0.9700000000000001,174.98610197046605,0.7768205242992996,2890.3154484804168,0.0,0.00862755109218612,0.5418399999999999,0.07999999999999996,0.7910009324570868,23
coverage_target,0.8,12,0.9700000000000001,173.8300396208336,0.8038077722073644,2981.571166909918,0.0,0.00853075375743572,0.47068000000000004,0.07999999999999996,0.7996793619395043,102
coverage_target,0.8,13,0.9800000000000001,171.7491808291889,0.7669058526309558,2721.0236403098334,0.0,0.005182453162618913,0.5098600000000001,0.040000000000000036,0.787719363263074,42
