seed,mechanism,insured_pct,accepted_premium,accepted_coverage,profit_per_insurer,subsidy_total,hhi,override_residual,assignment_override_rate,premium_override,coverage_override
15,Bayesian direct mechanism,0.709,213.66835372809047,0.7937208266498084,1022.6948326696554,0.0,0.7151330163866356,0.3160764133364365,0.266,0.05957127628742015,0.0405815503854528
15,Central welfare planner,1.0,218.95238832191862,0.7850790969434198,1263.7666948096617,261.16353181968634,0.39556,0.3265026895850548,0.259,0.10595449953425226,0.029050879635857296
15,FL-IMDR restricted,0.992,217.4216658477104,0.7556512814117401,1668.0555356962911,715.4947787625232,0.5405160092734207,0.0,0.0,0.0,0.0
16,Bayesian direct mechanism,0.6809999999999999,214.55973975751454,0.7931409273749941,983.3443175597306,0.0,0.7222390009381426,0.3960987412885936,0.34500000000000003,0.05951032144533367,0.042687161131853585
16,Central welfare planner,1.0,219.7913471106373,0.7844794685215548,1263.7980549556435,179.9019052103005,0.37998000000000004,0.3087576151250351,0.24100000000000002,0.10586387483925368,0.029651355410816455
16,FL-IMDR restricted,0.9949999999999999,218.62368320796054,0.7562063971826978,1685.453111360316,733.0205339373254,0.5404826527905315,0.0,0.0,0.0,0.0
17,Bayesian direct mechanism,0.71,214.28262629637356,0.7929103502743232,1024.8928017741316,0.0,0.772535052570192,0.3386636292878175,0.28700000000000003,0.05814663416735869,0.045180624408276346
17,Central welfare planner,1.0,221.14844232602894,0.7856513855115018,1265.8158896917118,213.6905015008922,0.39316,0.30113260293889227,0.23399999999999999,0.10467084509245636,0.029594360785328223
17,FL-IMDR restricted,0.969,220.79836029415233,0.7570152425000848,1648.7863696942036,598.0471077608668,0.49991816900166147,0.0,0.0,0.0,0.0
18,Bayesian direct mechanism,0.696,213.3920858706735,0.7928315443961287,1003.6122769739684,0.0,0.697950057171332,0.33475857113460894,0.28300000000000003,0.059832113222815474,0.043685029046402424
18,Central welfare planner,0.9970000000000001,219.2258568870437,0.7845439666202456,1260.0303743719894,237.68947391532575,0.3746909580655035,0.3169320581266964,0.248,0.10540209444669266,0.032462021806700075
18,FL-IMDR restricted,0.96,219.60347273344965,0.7596799753587052,1635.391347886795,612.1123155180015,0.4865400323475509,0.0,0.0,0.0,0.0
19,Bayesian direct mechanism,0.6950000000000001,214.86826971263903,0.7961223242905644,1003.9666703976869,0.0,0.679735584049513,0.308023502540023,0.257,0.05942174193283967,0.04262526314720629
19,Central welfare planner,0.9970000000000001,218.19534687701866,0.783274235358663,1259.12956207802,264.79543849288126,0.3672397918579737,0.3564301990271691,0.288,0.10593495173201836,0.03092544632231988
19,FL-IMDR restricted,0.966,216.9636820952381,0.7567449291642753,1616.14866740694,608.4862249650307,0.5778409097410132,0.0,0.0,0.0,0.0
20,Bayesian direct mechanism,0.72,212.29528741234557,0.794691795188002,1036.8782321099113,0.0,0.6857574328009342,0.3677855520370617,0.316,0.06002066376360064,0.0435504403105227
20,Central welfare planner,1.0,219.20465795952046,0.7884543653125803,1262.6307623008936,140.5182373230043,0.43513999999999997,0.3071410929909145,0.23700000000000002,0.10708638780528959,0.03319579817653938
20,FL-IMDR restricted,0.9879999999999999,218.53064413365414,0.7615107005683732,1675.3068681415357,604.2428021164318,0.4765880142218742,0.0,0.0,0.0,0.0
21,Bayesian direct mechanism,0.709,212.64566313826748,0.7929479269873851,1021.4269882478299,0.0,0.7094970355750714,0.39293067088336703,0.33999999999999997,0.060841462129599254,0.04501987963713483
21,Central welfare planner,1.0,218.91168738342407,0.7863027176217849,1262.2349433423112,136.56650241171963,0.4001,0.34323058358077496,0.274,0.10724260193552278,0.031218565226027138
21,FL-IMDR restricted,0.9890000000000001,218.1017431143432,0.7621227824818513,1677.393586113138,636.7928361734064,0.48563985153789907,0.0,0.0,0.0,0.0
22,Bayesian direct mechanism,0.727,213.74942902877166,0.7936515026848461,1048.7668240128344,0.0,0.6940052211220784,0.3739973933052852,0.32199999999999995,0.05951346835394181,0.044481318256628585
22,Central welfare planner,0.985,220.00802150650125,0.7894382807972294,1244.9477788095785,164.7995838427284,0.4596257655626858,0.29527175795180727,0.22599999999999998,0.10609492359912129,0.03244859230449326
22,FL-IMDR restricted,0.9730000000000001,219.68545565638993,0.7614571747889123,1655.1265819201321,564.1296622020124,0.4792038018310736,0.0,0.0,0.0,0.0
23,Bayesian direct mechanism,0.727,214.69827142277936,0.7939119979896274,1049.929695582904,0.0,0.7257666997805879,0.39118975655105725,0.33999999999999997,0.05894591280777106,0.04343360029434348
23,Central welfare planner,1.0,220.5994802370331,0.7873592584996861,1264.3593900721776,146.2407423595715,0.42684,0.3363564969358791,0.268,0.10631328140927945,0.030399712462478728
23,FL-IMDR restricted,1.0,219.35490815531512,0.7586901230501736,1700.8463886237437,683.0312428501712,0.4980200000000001,0.0,0.0,0.0,0.0
24,Bayesian direct mechanism,0.726,219.14661883095687,0.7930387851374412,1054.1586570920922,0.0,0.8027223847504436,0.3039155479235932,0.253,0.0563369221737313,0.04549417367345504
24,Central welfare planner,1.0,224.10522922878607,0.7837018870856756,1268.7588622122253,165.22150294831576,0.36034,0.38222914353851356,0.317,0.1028652430057089,0.027593044071318185
24,FL-IMDR restricted,0.994,221.0614879780215,0.7464579172265415,1669.5668620020583,669.6500583972904,0.587882056932966,0.0,0.0,0.0,0.0
25,Bayesian direct mechanism,0.73,214.19280894595,0.7906606476591245,1053.657554654832,0.0,0.7718054994691831,0.37724199577947254,0.327,0.059108063619487575,0.041375927939457526
