seed,round,mechanism,insured_pct,accepted_premium,accepted_coverage,profit_per_insurer,total_profit,subsidy_total,hhi,override_residual,assignment_override_rate,premium_override,coverage_override,mean_allocation_probability
0,63,Central welfare planner,1.0,217.57677060141307,0.7836666666666667,1261.6486531499545,5046.594612599818,220.80980445485656,0.37740000000000007,0.3689502353204076,0.3,0.1069863579905318,0.030914112650283383,
0,64,Central welfare planner,1.0,218.089398411744,0.7834,1262.4998739941134,5049.9994959764535,241.04957433108967,0.371,0.34870116864999745,0.28,0.10637102467022606,0.031031312629768718,
0,65,Central welfare planner,1.0,217.54901429587872,0.7831608136206276,1261.9037004003085,5047.614801601234,245.0094040380398,0.369,0.3292676790612876,0.26,0.10654332840375623,0.031992029718819065,
0,66,Central welfare planner,1.0,218.22087941152594,0.7836666666666667,1262.6147247017573,5050.458898807029,237.54893379501286,0.371,0.3380945625489083,0.27,0.10647275294384276,0.02971637215397376,
0,67,Central welfare planner,1.0,217.89320611985022,0.7829366650035574,1262.2562349518255,5049.024939807302,240.20312396830272,0.369,0.3496716785787731,0.28,0.106629778237872,0.0327135789196742,
0,68,Central welfare planner,1.0,217.90245875577745,0.7834061355564523,1262.6395967530339,5050.558387012135,271.48025167709864,0.3778,0.3594630836522051,0.29,0.1069751072113324,0.03195106009307784,
0,69,Central welfare planner,1.0,218.31229097533873,0.7834000000000002,1262.93780308141,5051.75121232564,255.54636130455685,0.3778,0.34901876780376817,0.28,0.1059121631085884,0.03212537249894784,
0,70,Central welfare planner,1.0,218.58242309980648,0.7837581009182838,1263.220408359619,5052.881633438476,252.27199222731596,0.37740000000000007,0.35812539344874955,0.29,0.1058732875274048,0.03037749937009437,
0,71,Central welfare planner,1.0,218.41284818736648,0.783487152974301,1262.606154965722,5050.424619862888,217.63219838400045,0.3778,0.35881512502096546,0.29,0.10613801350496183,0.03149223653696919,
0,72,Central welfare planner,1.0,218.37438770753838,0.7843631605427599,1262.0835434224252,5048.334173689701,177.5788767298693,0.3864000000000001,0.33950455499316035,0.27,0.10708879560055758,0.03192031438576314,
0,73,Central welfare planner,1.0,217.9962027418045,0.7845126565749664,1261.5142449123757,5046.056979649503,167.57629845909395,0.38620000000000004,0.34912204407194325,0.28,0.10686801660622876,0.03137607153765772,
0,74,Central welfare planner,1.0,218.10957316062328,0.7844666666666669,1261.5869061237368,5046.347624494947,162.34279833154045,0.38620000000000004,0.3585761397187442,0.29,0.10683073405828752,0.03032154537920091,
0,75,Central welfare planner,1.0,218.88840841215097,0.7847699184387662,1262.749508024408,5050.998032097632,182.11783283515103,0.39579999999999993,0.32849814439090896,0.26,0.10582566741204183,0.03117062136977613,
0,76,Central welfare planner,1.0,219.09701595689032,0.7836666666666667,1262.5791956932403,5050.316782772961,146.95084254312738,0.37560000000000004,0.31874201840268174,0.25,0.10658787500077312,0.03089616180459037,
0,77,Central welfare planner,1.0,219.74158900754642,0.7860666666666668,1263.6368768700331,5054.5475074801325,171.33875632812808,0.40059999999999996,0.33816908665182216,0.27,0.1064199450525113,0.029918228251133015,
0,78,Central welfare planner,1.0,219.78419885120263,0.7842000000000001,1263.6625219918901,5054.6500879675605,169.2319621984895,0.37960000000000005,0.34786986536496295,0.28,0.10605275550357403,0.02968697522635185,
