mechanism,round,n,insured_pct_mean,insured_pct_ci95,override_residual_mean,override_residual_ci95
Bayesian direct mechanism,85,50,0.6901999999999999,0.010378750599180999,0.3558101610684933,0.012423589299901004
Bayesian direct mechanism,86,50,0.7016000000000001,0.011454156276216942,0.342199176774745,0.014290132609841856
Bayesian direct mechanism,87,50,0.7016,0.01250142775846023,0.34328440778843394,0.012775176314173705
Bayesian direct mechanism,88,50,0.6953999999999998,0.01247443209128175,0.3504956328952641,0.013541513438656849
Bayesian direct mechanism,89,50,0.6978000000000002,0.013337996251311515,0.35362923246808237,0.012429407971295553
Bayesian direct mechanism,90,50,0.7040000000000001,0.01235812283479979,0.3500544615597072,0.013914281913958652
Bayesian direct mechanism,91,50,0.7056,0.012918412286345408,0.3423035386773206,0.01456744132635437
Bayesian direct mechanism,92,50,0.7008,0.01309538178137621,0.3571908744734394,0.012888681068849526
Bayesian direct mechanism,93,50,0.7038,0.012009225786869025,0.3502419079148552,0.013539942648246974
Bayesian direct mechanism,94,50,0.703,0.01177665487309533,0.3546632401554578,0.011880023594825262
Bayesian direct mechanism,95,50,0.7094,0.01022533011692043,0.3527824431738643,0.009962334302817268
Bayesian direct mechanism,96,50,0.7016,0.01138550376575406,0.3596448121973115,0.012914278330144089
Bayesian direct mechanism,97,50,0.7009999999999998,0.0096711529819355,0.3593450027590512,0.012582833198850193
Bayesian direct mechanism,98,50,0.7101999999999999,0.010469004919284352,0.3497233281356811,0.012047461486519022
Bayesian direct mechanism,99,50,0.7030000000000001,0.010977285638991086,0.35357984786254276,0.013090440737956538
Bayesian direct mechanism,100,50,0.7153999999999999,0.010419762761214865,0.33859383871606963,0.011901205008096305
Bayesian direct mechanism,101,50,0.7136000000000001,0.010782872344602804,0.3439710210232599,0.014140148775880509
Bayesian direct mechanism,102,50,0.7046000000000001,0.011216927208464891,0.3526289647021422,0.012419826052847801
Bayesian direct mechanism,103,50,0.7209999999999998,0.01374283813482499,0.33447098229958,0.013800836848570065
Bayesian direct mechanism,104,50,0.7088000000000001,0.010968568913035099,0.3471872211514259,0.011262875144699215
Bayesian direct mechanism,105,50,0.6984000000000001,0.01036166473111343,0.3531432931278399,0.011918897618051255
Bayesian direct mechanism,106,50,0.7071999999999999,0.010815976331335046,0.35195340234368655,0.010890298334607602
Bayesian direct mechanism,107,50,0.705,0.011105097928429083,0.3507295602991334,0.012866292356203419
Bayesian direct mechanism,108,50,0.7069999999999999,0.012512585664042423,0.3430659163032857,0.011056653454272787
Bayesian direct mechanism,109,50,0.7014000000000001,0.011558405426355315,0.35433336377566876,0.014880202578505143
Bayesian direct mechanism,110,50,0.7059999999999998,0.010973714047668637,0.35049554444061626,0.013689624196968259
Bayesian direct mechanism,111,50,0.71,0.012062769167981288,0.34986608530115165,0.012856100797975875
Bayesian direct mechanism,112,50,0.7138,0.011071725430121542,0.341045365889341,0.011886177123387751
Bayesian direct mechanism,113,50,0.7145999999999999,0.010554328780173563,0.3396409118065867,0.013780504725938251
Bayesian direct mechanism,114,50,0.7123999999999998,0.00970853315388066,0.3533019653593078,0.013947326997630575
Bayesian direct mechanism,115,50,0.705,0.010891244189714962,0.35058899093919976,0.012150630159302473
Bayesian direct mechanism,116,50,0.7053999999999999,0.012156128331010659,0.34662450041690457,0.01251309266514798
Bayesian direct mechanism,117,50,0.7084,0.0111629788139188,0.35078077163256777,0.009866587567981642
Bayesian direct mechanism,118,50,0.7121999999999999,0.012195792061198812,0.34642760740968326,0.012027954307517538
Bayesian direct mechanism,119,50,0.7128,0.011866715805141705,0.34524036738847275,0.013193807658063985
